taxa,crops
Aranaea,836
Birds,20
Coleoptera,388
Coleoptera Cantharidae Rhagonycha fulva,186
Coleoptera Coccinellidae Coccinella septempunctata,1485
Dermaptera,85
Diptera,1124
Diptera Sarcophagidae,298
Diptera Syrphidae,388
Diptera Syrphidae Episyrphus balteatus,1742
Diptera Syrphidae Eristalis,193
Diptera Syrphidae Eupeodes,1110
Diptera Syrphidae Helophilus,87
Diptera Syrphidae Meliscaeva cinctella,4
Diptera Syrphidae Myathropa florea,2
Diptera Syrphidae Platycheirus,176
Diptera Syrphidae Scaeva,17
Diptera Syrphidae Scaeva pyrastri,50
Diptera Syrphidae Scaeva selenitica,1
Diptera Syrphidae Sphaerophoria scripta-complex,884
Diptera Syrphidae Syritta pipiens,32
Diptera Syrphidae Syrphus,5
Diptera Syrphidae Xanthogramma,2
Hemiptera,315
Herpetofauna,49
Hymenoptera_bees Apidae Apis mellifera,1644
Hymenoptera_bees Apidae Bombus,80
Hymenoptera_bees Apidae Bombus hypnorum,1
Hymenoptera_bees Apidae Bombus lapidarius,787
Hymenoptera_bees Apidae Bombus pascuorum,109
Hymenoptera_bees Apidae Bombus sylvarum,323
Hymenoptera_bees Apidae Bombus terrestris,352
Hymenoptera_bees Apidae Nomada,1
Hymenoptera_bees Apoidea Apoidea red_abdomen,8
Hymenoptera_bees Apoidea Apoidea reddish,50
Hymenoptera_bees Apoidea Apoidea small,530
Hymenoptera_bees Apoidea Apoidea striped,212
Hymenoptera_bees Megachilidae,899
Hymenoptera_bees Megachilidae Anthidium oblongatum,48
Hymenoptera_nobees Crabronidae,89
Hymenoptera_nobees Formidicidae,1769
Hymenoptera_nobees Ichneumonidae,12
Hymenoptera_nobees Pompilidae,86
Hymenoptera_nobees Vespidae,46
Hymenoptera_nobees Vespidae Odynerus spinipes,166
Hymenoptera_nobees Vespidae Vespula vulgaris,256
Isopoda,132
Larvae,72
Lepidoptera,13
Lepidoptera Hesperidae,46
Lepidoptera Lycaenidae,3
Lepidoptera Lycaenidae Lycaena phlaeas,2
Lepidoptera Moths,167
Lepidoptera Nymphalidae Aglais io,41
Lepidoptera Nymphalidae Aglais urticae,375
Lepidoptera Nymphalidae Aphantopus hyperantus,3
Lepidoptera Nymphalidae Coenonympha pamphilus,3
Lepidoptera Nymphalidae Maniola jurtina,23
Lepidoptera Pieridae,3
Lepidoptera_fw,33
Lepidoptera_fw Nymphalidae_fw Aglais urticae_fw,13
Lepidoptera_fw Nymphalidae_fw Maniola jurtina_fw,45
Lepidoptera_fw Nymphalidae_fw Satyrinae_fw,14
Milipedes,38
Odonata,62
Orthoptera,19
Orthoptera Acrididae,306
Orthoptera Acrididae Chorthippus,259
Orthoptera Acrididae Omocestus viridulus,4
Orthoptera Tettigoniidae Pholidoptera griseoaptera,28
Slugs,359
Snails,811
Vegetation,871
