taxa,crops
Apoidea,663
Apoidea Andrenidae Andrena red_abdomen,129
Apoidea Andrenidae Andrena reddish,358
Apoidea Apidae Apis mellifera,10499
Apoidea Apidae Bombus,435
Apoidea Apidae Bombus hypnorum,208
Apoidea Apidae Bombus lapidarius,2442
Apoidea Apidae Bombus pascuorum,264
Apoidea Apidae Bombus sylvarum,359
Apoidea Apidae Bombus terrestris,4021
Apoidea Apidae Nomada,411
Apoidea Apoidea_small,1976
Apoidea Halictidae Halictidae striped,1705
Apoidea Halictidae Sphecodes,154
Apoidea Megachilidae,2490
Apoidea Megachilidae Anthidium oblongatum,376
Aranaea,2001
Birds,90
Coleoptera,2698
Coleoptera Cantharidae Rhagonycha fulva,1359
Coleoptera Coccinellidae Coccinella septempunctata,7270
Dermaptera,83
Diptera,851
Diptera Bombyliidae,253
Diptera Sarcophagidae,416
Diptera Syrphidae,273
Diptera Syrphidae Chrysotoxum,317
Diptera Syrphidae Episyrphus balteatus,2732
Diptera Syrphidae Eristalis,730
Diptera Syrphidae Eupeodes,4473
Diptera Syrphidae Eurimyia,316
Diptera Syrphidae Helophilus,493
Diptera Syrphidae Meliscaeva cinctella,233
Diptera Syrphidae Myathropa florea,322
Diptera Syrphidae Platycheirus,406
Diptera Syrphidae Scaeva pyrastri,350
Diptera Syrphidae Scaeva selenitica,254
Diptera Syrphidae Sphaerophoria scripta-complex,832
Diptera Syrphidae Syritta pipiens,437
Diptera Syrphidae Syrphus,311
Diptera Syrphidae Xanthogramma,189
Feathers,175
Frogs,69
Hemiptera,1628
Hymenoptera Crabronidae,891
Hymenoptera Formidicidae,968
Hymenoptera Ichneumonidae,637
Hymenoptera Pompilidae,484
Hymenoptera Vespidae,62
Hymenoptera Vespidae Ancistrocerus nigricornis,258
Hymenoptera Vespidae Eumenes coronatus,287
Hymenoptera Vespidae Odynerus spinipes,2531
Hymenoptera Vespidae Vespula vulgaris,1568
Isopoda,880
Larvae,579
Lepidoptera,156
Lepidoptera Hesperidae,519
Lepidoptera Lycaenidae,300
Lepidoptera Lycaenidae Lycaena phlaeas,277
Lepidoptera Moths,65
Lepidoptera Nymphalidae Aglais io,250
Lepidoptera Nymphalidae Aglais urticae,1921
Lepidoptera Nymphalidae Aphantopus hyperantus,142
Lepidoptera Nymphalidae Coenonympha pamphilus,455
Lepidoptera Nymphalidae Lasiommata megera,3
Lepidoptera Nymphalidae Maniola jurtina,645
Lepidoptera Nymphalidae Melanargia galathea,95
Lepidoptera Nymphalidae Melitaea cinxia,28
Lepidoptera Nymphalidae Satyrinae,11
Lepidoptera Pieridae,259
Lepidoptera_fw,271
Lepidoptera_fw Nymphalidae_fw Aglais urticae_fw,352
Lepidoptera_fw Nymphalidae_fw Maniola jurtina_fw,3383
Lepidoptera_fw Nymphalidae_fw Satyrinae_fw,1277
Lizards,26
Milipedes,177
Odonata,507
Orthoptera Acrididae,1540
Orthoptera Acrididae Chorthippus,432
Orthoptera Acrididae Chorthippus apricarius,362
Orthoptera Acrididae Omocestus viridulus,155
Orthoptera Tetrigidae Tetrix,228
Orthoptera Tettigoniidae Decticus verrucivorus,192
Orthoptera Tettigoniidae Pholidoptera griseoaptera,337
Slugs,1192
Snails,1687
Vegetation,17654
