level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,99,101,100,0.9801980198019802,0.99,0.9850746268656716
L1 Order,Birds,12,15,13,0.8,0.9230769230769231,0.8571428571428571
L1 Order,Coleoptera,557,562,566,0.9911032028469751,0.9840989399293286,0.9875886524822696
L1 Order,Dermaptera,21,23,22,0.9130434782608695,0.9545454545454546,0.9333333333333332
L1 Order,Diptera,715,723,725,0.9889349930843707,0.9862068965517241,0.9875690607734807
L1 Order,Hemiptera,79,84,81,0.9404761904761905,0.9753086419753086,0.9575757575757574
L1 Order,Herpetofauna,5,8,5,0.625,1.0,0.7692307692307693
L1 Order,Hymenoptera_bees,1314,1328,1323,0.9894578313253012,0.9931972789115646,0.9913240286684271
L1 Order,Hymenoptera_nobees,424,437,433,0.9702517162471396,0.9792147806004619,0.9747126436781609
L1 Order,Isopoda,44,44,44,1.0,1.0,1.0
L1 Order,Larvae,28,28,29,1.0,0.9655172413793104,0.9824561403508771
L1 Order,Lepidoptera,251,256,264,0.98046875,0.9507575757575758,0.9653846153846155
L1 Order,Lepidoptera_fw,259,267,264,0.9700374531835206,0.9810606060606061,0.975517890772128
L1 Order,Milipedes,9,9,9,1.0,1.0,1.0
L1 Order,Odonata,26,26,26,1.0,1.0,1.0
L1 Order,Orthoptera,158,159,162,0.9937106918238994,0.9753086419753086,0.984423676012461
L1 Order,Slugs,54,55,59,0.9818181818181818,0.9152542372881356,0.9473684210526316
L1 Order,Snails,85,91,85,0.9340659340659341,1.0,0.9659090909090909
L1 Order,Vegetation,275,280,286,0.9821428571428571,0.9615384615384616,0.9717314487632509
L1 Order,Macro,232.3684210526316,236.6315789473684,236.6315789473684,0.9495110157935379,0.9755308252415874,0.9598075269997778
L1 Order,Micro,4415,4496,4496,0.9819839857651246,0.9819839857651246,0.9819839857651247
L2 Family,Acrididae,123,127,124,0.968503937007874,0.9919354838709677,0.9800796812749005
L2 Family,Apidae,923,933,933,0.9892818863879957,0.9892818863879957,0.9892818863879957
L2 Family,Apoidea,243,260,247,0.9346153846153846,0.9838056680161943,0.9585798816568046
L2 Family,Aranaea,99,101,100,0.9801980198019802,0.99,0.9850746268656716
L2 Family,Birds,12,15,13,0.8,0.9230769230769231,0.8571428571428571
L2 Family,Bombyliidae,24,24,24,1.0,1.0,1.0
L2 Family,Cantharidae,65,68,68,0.9558823529411765,0.9558823529411765,0.9558823529411765
L2 Family,Chrysididae,38,40,39,0.95,0.9743589743589743,0.9620253164556962
L2 Family,Coccinellidae,362,363,363,0.9972451790633609,0.9972451790633609,0.9972451790633609
L2 Family,Coleoptera,126,132,135,0.9545454545454546,0.9333333333333333,0.9438202247191012
L2 Family,Crabronidae,42,44,45,0.9545454545454546,0.9333333333333333,0.9438202247191012
L2 Family,Dermaptera,21,23,22,0.9130434782608695,0.9545454545454546,0.9333333333333332
L2 Family,Diptera,21,22,23,0.9545454545454546,0.9130434782608695,0.9333333333333332
L2 Family,Formidicidae,47,50,48,0.94,0.9791666666666666,0.9591836734693877
