level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,811,877,836,0.9247434435575826,0.9700956937799043,0.9468768242848804
L1 Order,Birds,20,20,20,1.0,1.0,1.0
L1 Order,Coleoptera,2008,2125,2059,0.9449411764705883,0.975230694511899,0.959847036328872
L1 Order,Dermaptera,79,112,85,0.7053571428571429,0.9294117647058824,0.802030456852792
L1 Order,Diptera,5957,6014,6115,0.9905221150648487,0.9741618969746525,0.9822738890263006
L1 Order,Hemiptera,304,473,315,0.642706131078224,0.9650793650793651,0.7715736040609137
L1 Order,Herpetofauna,47,65,49,0.7230769230769231,0.9591836734693877,0.8245614035087718
L1 Order,Hymenoptera_bees,4944,5016,5044,0.9856459330143541,0.9801744647105471,0.9829025844930418
L1 Order,Hymenoptera_nobees,2298,2498,2424,0.9199359487590072,0.948019801980198,0.9337667614790734
L1 Order,Isopoda,127,136,132,0.9338235294117647,0.9621212121212122,0.9477611940298508
L1 Order,Larvae,66,73,72,0.9041095890410958,0.9166666666666666,0.9103448275862068
L1 Order,Lepidoptera,642,663,659,0.9683257918552036,0.9742033383915023,0.9712556732223905
L1 Order,Lepidoptera_fw,89,96,105,0.9270833333333334,0.8476190476190476,0.8855721393034826
L1 Order,Milipedes,38,40,38,0.95,1.0,0.9743589743589743
L1 Order,Odonata,61,61,62,1.0,0.9838709677419355,0.991869918699187
L1 Order,Orthoptera,201,237,201,0.8481012658227848,1.0,0.9178082191780821
L1 Order,Slugs,247,269,359,0.9182156133828996,0.6880222841225627,0.786624203821656
L1 Order,Snails,809,1004,811,0.8057768924302788,0.9975339087546239,0.8914600550964187
L1 Order,Vegetation,456,478,871,0.9539748953974896,0.5235361653272101,0.676056338028169
L1 Order,Macro,1010.7368421052631,1066.157894736842,1066.157894736842,0.8971757749765011,0.9260489971556104,0.9029970580715296
L1 Order,Micro,19204,20257,20257,0.9480179690971022,0.9480179690971022,0.9480179690971022
L2 Family,Acrididae,184,220,184,0.8363636363636363,1.0,0.9108910891089108
L2 Family,Apidae,3210,3263,3297,0.9837572785779957,0.9736123748862603,0.9786585365853658
L2 Family,Apoidea,701,822,800,0.8527980535279805,0.87625,0.8643649815043157
L2 Family,Aranaea,806,855,836,0.9426900584795321,0.9641148325358851,0.9532820816085158
L2 Family,Birds,20,20,20,1.0,1.0,1.0
L2 Family,Bombyliidae,0,12,0,0.0,1.0,0.0
L2 Family,Cantharidae,185,187,186,0.9893048128342246,0.9946236559139785,0.9919571045576406
L2 Family,Chrysididae,0,73,0,0.0,1.0,0.0
L2 Family,Coccinellidae,1482,1488,1485,0.9959677419354839,0.997979797979798,0.9969727547931383
L2 Family,Coleoptera,348,468,388,0.7435897435897436,0.8969072164948454,0.8130841121495328
L2 Family,Crabronidae,80,97,89,0.8247422680412371,0.898876404494382,0.8602150537634409
L2 Family,Dermaptera,78,95,85,0.8210526315789474,0.9176470588235294,0.8666666666666667
L2 Family,Diptera,1055,1084,1124,0.9732472324723247,0.9386120996441281,0.9556159420289855
L2 Family,Formidicidae,1692,1799,1769,0.9405225125069483,0.9564725833804409,0.9484304932735427
L2 Family,Hemiptera,299,449,315,0.6659242761692651,0.9492063492063492,0.7827225130890053
L2 Family,Herpetofauna,47,60,49,0.7833333333333333,0.9591836734693877,0.8623853211009175
L2 Family,Hesperidae,25,26,26,0.9615384615384616,0.9615384615384616,0.9615384615384616
L2 Family,Ichneumonidae,7,44,12,0.1590909090909091,0.5833333333333334,0.25
L2 Family,Isopoda,125,134,132,0.9328358208955224,0.946969696969697,0.9398496240601504
L2 Family,Larvae,66,74,72,0.8918918918918919,0.9166666666666666,0.9041095890410958
L2 Family,Lepidoptera,13,21,13,0.6190476190476191,1.0,0.7647058823529412
L2 Family,Lepidoptera_fw,32,39,33,0.8205128205128205,0.9696969696969697,0.8888888888888888
L2 Family,Lycaenidae,4,4,5,1.0,0.8,0.888888888888889
L2 Family,Megachilidae,885,938,947,0.9434968017057569,0.9345300950369588,0.9389920424403182
L2 Family,Milipedes,38,40,38,0.95,1.0,0.9743589743589743
L2 Family,Moths,158,161,167,0.9813664596273292,0.9461077844311377,0.9634146341463414
L2 Family,Nymphalidae,444,459,445,0.9673202614379085,0.9977528089887641,0.9823008849557523
L2 Family,Nymphalidae_fw,57,57,72,1.0,0.7916666666666666,0.8837209302325582
L2 Family,Odonata,61,61,62,1.0,0.9838709677419355,0.991869918699187
L2 Family,Orthoptera,6,7,6,0.8571428571428571,1.0,0.923076923076923
L2 Family,Pieridae,3,3,3,1.0,1.0,1.0
L2 Family,Pompilidae,56,66,86,0.8484848484848485,0.6511627906976745,0.736842105263158
L2 Family,Sarcophagidae,292,297,298,0.9831649831649831,0.9798657718120806,0.9815126050420168
L2 Family,Slugs,248,268,359,0.9253731343283582,0.6908077994428969,0.7910685805422648
L2 Family,Snails,809,996,811,0.8122489959839357,0.9975339087546239,0.8954067515218594
L2 Family,Syrphidae,4613,4639,4693,0.9943953438241,0.9829533347538888,0.9886412344620661
L2 Family,Tettigoniidae,9,11,11,0.8181818181818182,0.8181818181818182,0.8181818181818182
L2 Family,Vegetation,438,454,871,0.9647577092511013,0.5028702640642939,0.6611320754716982
L2 Family,Vespidae,447,466,468,0.9592274678111588,0.9551282051282052,0.9571734475374732
L2 Family,Macro,487.7692307692308,519.4102564102565,519.4102564102565,0.839573635470052,0.9162595741214116,0.8428441259213543
L2 Family,Micro,19023,20257,20257,0.9390827861973639,0.9390827861973639,0.9390827861973639
L3 Species,Acrididae,108,138,108,0.782608695652174,1.0,0.878048780487805
L3 Species,Aglais io,41,42,41,0.9761904761904762,1.0,0.9879518072289156
L3 Species,Aglais urticae,374,388,375,0.9639175257731959,0.9973333333333333,0.9803407601572739
L3 Species,Aglais urticae_fw,1,3,13,0.3333333333333333,0.07692307692307693,0.125
L3 Species,Anthidium oblongatum,39,47,48,0.8297872340425532,0.8125,0.8210526315789474
L3 Species,Aphantopus hyperantus,2,2,3,1.0,0.6666666666666666,0.8
L3 Species,Apis mellifera,1582,1625,1644,0.9735384615384616,0.962287104622871,0.9678800856531049
L3 Species,Apoidea,0,26,0,0.0,1.0,0.0
L3 Species,Apoidea red_abdomen,6,25,8,0.24,0.75,0.36363636363636365
