level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,99,102,100,0.9705882352941176,0.99,0.9801980198019802
L1 Order,Birds,12,12,13,1.0,0.9230769230769231,0.9600000000000001
L1 Order,Coleoptera,560,562,566,0.99644128113879,0.9893992932862191,0.9929078014184397
L1 Order,Dermaptera,21,22,21,0.9545454545454546,1.0,0.9767441860465117
L1 Order,Diptera,717,723,726,0.991701244813278,0.987603305785124,0.9896480331262941
L1 Order,Hemiptera,79,83,81,0.9518072289156626,0.9753086419753086,0.9634146341463414
L1 Order,Herpetofauna,4,4,5,1.0,0.8,0.888888888888889
L1 Order,Hymenoptera_bees,1314,1322,1323,0.9939485627836612,0.9931972789115646,0.9935727788279773
L1 Order,Hymenoptera_nobees,427,439,433,0.9726651480637813,0.9861431870669746,0.9793577981651376
L1 Order,Isopoda,44,44,44,1.0,1.0,1.0
L1 Order,Larvae,26,26,29,1.0,0.896551724137931,0.9454545454545454
L1 Order,Lepidoptera,251,256,264,0.98046875,0.9507575757575758,0.9653846153846155
L1 Order,Lepidoptera_fw,261,269,264,0.9702602230483272,0.9886363636363636,0.9793621013133208
L1 Order,Milipedes,9,9,9,1.0,1.0,1.0
L1 Order,Odonata,26,26,26,1.0,1.0,1.0
L1 Order,Orthoptera,181,184,183,0.9836956521739131,0.9890710382513661,0.9863760217983651
L1 Order,Slugs,58,62,59,0.9354838709677419,0.9830508474576272,0.9586776859504132
L1 Order,Snails,85,86,85,0.9883720930232558,1.0,0.9941520467836257
L1 Order,Vegetation,282,286,286,0.986013986013986,0.986013986013986,0.986013986013986
L1 Order,Macro,234.52631578947367,237.73684210526315,237.73684210526315,0.9829469331990509,0.9704636929135243,0.9757975338484443
L1 Order,Micro,4456,4517,4517,0.9864954615895506,0.9864954615895506,0.9864954615895506
L2 Family,Acrididae,141,145,143,0.9724137931034482,0.986013986013986,0.9791666666666666
L2 Family,Apidae,925,931,933,0.9935553168635876,0.9914255091103966,0.9924892703862661
L2 Family,Apoidea,237,243,246,0.9753086419753086,0.9634146341463414,0.9693251533742332
L2 Family,Aranaea,99,101,100,0.9801980198019802,0.99,0.9850746268656716
L2 Family,Birds,12,12,13,1.0,0.9230769230769231,0.9600000000000001
L2 Family,Bombyliidae,24,26,24,0.9230769230769231,1.0,0.9600000000000001
L2 Family,Cantharidae,66,68,68,0.9705882352941176,0.9705882352941176,0.9705882352941176
L2 Family,Chrysididae,39,40,39,0.975,1.0,0.9873417721518987
L2 Family,Coccinellidae,362,362,363,1.0,0.9972451790633609,0.9986206896551724
L2 Family,Coleoptera,131,133,135,0.9849624060150376,0.9703703703703703,0.9776119402985074
L2 Family,Crabronidae,40,41,45,0.975609756097561,0.8888888888888888,0.9302325581395349
L2 Family,Dermaptera,21,22,21,0.9545454545454546,1.0,0.9767441860465117
L2 Family,Diptera,21,24,23,0.875,0.9130434782608695,0.8936170212765957
L2 Family,Formidicidae,48,50,48,0.96,1.0,0.9795918367346939
L2 Family,Hemiptera,79,81,81,0.9753086419753086,0.9753086419753086,0.9753086419753086
L2 Family,Herpetofauna,4,5,5,0.8,0.8,0.8000000000000002
L2 Family,Hesperidae,24,24,27,1.0,0.8888888888888888,0.9411764705882353
L2 Family,Ichneumonidae,32,38,33,0.8421052631578947,0.9696969696969697,0.9014084507042254
L2 Family,Isopoda,44,44,44,1.0,1.0,1.0
L2 Family,Larvae,27,27,29,1.0,0.9310344827586207,0.9642857142857143
L2 Family,Lepidoptera,7,11,8,0.6363636363636364,0.875,0.7368421052631579
L2 Family,Lepidoptera_fw,5,13,13,0.38461538461538464,0.38461538461538464,0.38461538461538464
L2 Family,Lycaenidae,27,28,28,0.9642857142857143,0.9642857142857143,0.9642857142857143
L2 Family,Megachilidae,140,147,144,0.9523809523809523,0.9722222222222222,0.9621993127147767
L2 Family,Milipedes,9,9,9,1.0,1.0,1.0
L2 Family,Moths,10,10,11,1.0,0.9090909090909091,0.9523809523809523
L2 Family,Nymphalidae,167,171,177,0.9766081871345029,0.943502824858757,0.9597701149425287
L2 Family,Nymphalidae_fw,241,255,251,0.9450980392156862,0.9601593625498008,0.9525691699604744
L2 Family,Odonata,26,26,26,1.0,1.0,1.0
L2 Family,Orthoptera,10,12,12,0.8333333333333334,0.8333333333333334,0.8333333333333334
L2 Family,Pieridae,12,14,13,0.8571428571428571,0.9230769230769231,0.888888888888889
L2 Family,Pompilidae,27,33,32,0.8181818181818182,0.84375,0.8307692307692308
L2 Family,Sarcophagidae,39,42,41,0.9285714285714286,0.9512195121951219,0.9397590361445782
L2 Family,Slugs,58,60,59,0.9666666666666667,0.9830508474576272,0.9747899159663865
L2 Family,Snails,85,86,85,0.9883720930232558,1.0,0.9941520467836257
L2 Family,Syrphidae,628,634,638,0.9905362776025236,0.9843260188087775,0.9874213836477986
L2 Family,Tettigoniidae,27,27,28,1.0,0.9642857142857143,0.9818181818181818
L2 Family,Vegetation,282,285,286,0.9894736842105263,0.986013986013986,0.9877408056042032
L2 Family,Vespidae,232,237,236,0.9789029535864979,0.9830508474576272,0.9809725158562369
L2 Family,Macro,113.02564102564102,115.82051282051282,115.82051282051282,0.9325180891851641,0.9389738407127421,0.934740803267149
L2 Family,Micro,4408,4517,4517,0.975868939561656,0.975868939561656,0.9758689395616559
L3 Species,Acrididae,66,73,87,0.9041095890410958,0.7586206896551724,0.825
L3 Species,Aglais io,11,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
L3 Species,Aglais urticae,95,95,96,1.0,0.9895833333333334,0.9947643979057591
L3 Species,Aglais urticae_fw,14,17,18,0.8235294117647058,0.7777777777777778,0.7999999999999999
L3 Species,Anthidium oblongatum,20,20,20,1.0,1.0,1.0
L3 Species,Aphantopus hyperantus,8,8,8,1.0,1.0,1.0
L3 Species,Apis mellifera,517,520,525,0.9942307692307693,0.9847619047619047,0.9894736842105263
L3 Species,Apoidea,20,21,33,0.9523809523809523,0.6060606060606061,0.7407407407407407
L3 Species,Apoidea red_abdomen,12,16,14,0.75,0.8571428571428571,0.7999999999999999
L3 Species,Apoidea reddish,17,19,17,0.8947368421052632,1.0,0.9444444444444444
L3 Species,Apoidea small,91,93,98,0.978494623655914,0.9285714285714286,0.9528795811518325
L3 Species,Apoidea striped,83,95,84,0.8736842105263158,0.9880952380952381,0.9273743016759777
L3 Species,Aranaea,99,101,100,0.9801980198019802,0.99,0.9850746268656716
