level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,763,835,836,0.9137724550898204,0.9126794258373205,0.9132256134051465
L1 Order,Birds,20,28,20,0.7142857142857143,1.0,0.8333333333333333
L1 Order,Coleoptera,2011,2151,2059,0.9349139934913994,0.9766877124817873,0.9553444180522566
L1 Order,Dermaptera,77,119,85,0.6470588235294118,0.9058823529411765,0.7549019607843137
L1 Order,Diptera,5800,5881,6115,0.9862268321713994,0.9484873262469338,0.9669889963321107
L1 Order,Hemiptera,311,865,315,0.35953757225433525,0.9873015873015873,0.5271186440677966
L1 Order,Herpetofauna,48,98,49,0.4897959183673469,0.9795918367346939,0.653061224489796
L1 Order,Hymenoptera_bees,4799,4829,5044,0.9937875336508594,0.9514274385408406,0.9721462574698673
L1 Order,Hymenoptera_nobees,2109,2233,2424,0.9444693237796686,0.870049504950495,0.9057333047025982
L1 Order,Isopoda,125,133,132,0.9398496240601504,0.946969696969697,0.9433962264150944
L1 Order,Larvae,65,86,72,0.7558139534883721,0.9027777777777778,0.8227848101265824
L1 Order,Lepidoptera,638,660,659,0.9666666666666667,0.9681335356600911,0.9673995451099319
L1 Order,Lepidoptera_fw,87,99,105,0.8787878787878788,0.8285714285714286,0.8529411764705883
L1 Order,Milipedes,38,39,38,0.9743589743589743,1.0,0.9870129870129869
L1 Order,Odonata,61,67,62,0.9104477611940298,0.9838709677419355,0.9457364341085271
L1 Order,Orthoptera,201,242,201,0.8305785123966942,1.0,0.90744920993228
L1 Order,Slugs,271,288,359,0.9409722222222222,0.754874651810585,0.8377125193199382
L1 Order,Snails,801,998,811,0.8026052104208417,0.9876695437731196,0.8855721393034826
L1 Order,Vegetation,516,606,871,0.8514851485148515,0.5924225028702641,0.6987136086662155
L1 Order,Macro,986.3684210526316,1066.157894736842,1066.157894736842,0.833442848354244,0.9209156468531439,0.859503811005413
L1 Order,Micro,18741,20257,20257,0.9251616725082688,0.9251616725082688,0.9251616725082688
L2 Family,Acrididae,183,211,184,0.8672985781990521,0.9945652173913043,0.9265822784810127
L2 Family,Apidae,3145,3172,3297,0.9914880201765448,0.9538974825599029,0.9723295718039883
L2 Family,Apoidea,688,877,800,0.7844925883694412,0.86,0.8205128205128205
L2 Family,Aranaea,752,798,836,0.9423558897243107,0.8995215311004785,0.9204406364749081
L2 Family,Birds,20,26,20,0.7692307692307693,1.0,0.8695652173913044
L2 Family,Bombyliidae,0,9,0,0.0,1.0,0.0
L2 Family,Cantharidae,184,186,186,0.989247311827957,0.989247311827957,0.989247311827957
L2 Family,Chrysididae,0,41,0,0.0,1.0,0.0
L2 Family,Coccinellidae,1474,1490,1485,0.9892617449664429,0.9925925925925926,0.9909243697478991
L2 Family,Coleoptera,357,515,388,0.6932038834951456,0.9201030927835051,0.7906976744186046
L2 Family,Crabronidae,84,115,89,0.7304347826086957,0.9438202247191011,0.823529411764706
L2 Family,Dermaptera,74,99,85,0.7474747474747475,0.8705882352941177,0.8043478260869567
L2 Family,Diptera,959,992,1124,0.9667338709677419,0.853202846975089,0.9064272211720227
L2 Family,Formidicidae,1577,1635,1769,0.964525993883792,0.891464104013567,0.9265569917743831
L2 Family,Hemiptera,310,728,315,0.4258241758241758,0.9841269841269841,0.5944391179290508
L2 Family,Herpetofauna,48,75,49,0.64,0.9795918367346939,0.7741935483870968
L2 Family,Hesperidae,26,27,26,0.9629629629629629,1.0,0.9811320754716981
L2 Family,Ichneumonidae,6,14,12,0.42857142857142855,0.5,0.4615384615384615
L2 Family,Isopoda,125,132,132,0.946969696969697,0.946969696969697,0.946969696969697
L2 Family,Larvae,65,80,72,0.8125,0.9027777777777778,0.8552631578947368
L2 Family,Lepidoptera,9,12,13,0.75,0.6923076923076923,0.7199999999999999
L2 Family,Lepidoptera_fw,31,46,33,0.6739130434782609,0.9393939393939394,0.7848101265822786
L2 Family,Lycaenidae,4,5,5,0.8,0.8,0.8000000000000002
L2 Family,Megachilidae,775,807,947,0.9603469640644362,0.8183738120380147,0.8836944127708095
L2 Family,Milipedes,38,43,38,0.8837209302325582,1.0,0.9382716049382717
L2 Family,Moths,159,167,167,0.9520958083832335,0.9520958083832335,0.9520958083832335
L2 Family,Nymphalidae,444,459,445,0.9673202614379085,0.9977528089887641,0.9823008849557523
L2 Family,Nymphalidae_fw,55,57,72,0.9649122807017544,0.7638888888888888,0.8527131782945737
L2 Family,Odonata,61,62,62,0.9838709677419355,0.9838709677419355,0.9838709677419355
L2 Family,Orthoptera,6,7,6,0.8571428571428571,1.0,0.923076923076923
L2 Family,Pieridae,2,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
L2 Family,Pompilidae,54,63,86,0.8571428571428571,0.627906976744186,0.7248322147651007
L2 Family,Sarcophagidae,285,294,298,0.9693877551020408,0.9563758389261745,0.9628378378378377
L2 Family,Slugs,271,287,359,0.9442508710801394,0.754874651810585,0.8390092879256965
L2 Family,Snails,801,984,811,0.8140243902439024,0.9876695437731196,0.8924791086350974
L2 Family,Syrphidae,4630,4666,4693,0.992284612087441,0.9865757511186874,0.9894219467891869
L2 Family,Tettigoniidae,10,32,11,0.3125,0.9090909090909091,0.4651162790697674
L2 Family,Vegetation,495,566,871,0.8745583038869258,0.5683122847301951,0.6889352818371607
L2 Family,Vespidae,448,475,468,0.9431578947368421,0.9572649572649573,0.9501590668080594
L2 Family,Macro,478.3333333333333,519.4102564102565,519.4102564102565,0.7902531515226324,0.8934587290444799,0.803974076582709
L2 Family,Micro,18655,20257,20257,0.9209162264896086,0.9209162264896086,0.9209162264896086
L3 Species,Acrididae,107,129,108,0.8294573643410853,0.9907407407407407,0.9029535864978904
L3 Species,Aglais io,41,41,41,1.0,1.0,1.0
L3 Species,Aglais urticae,373,384,375,0.9713541666666666,0.9946666666666667,0.9828722002635046
L3 Species,Aglais urticae_fw,4,9,13,0.4444444444444444,0.3076923076923077,0.3636363636363637
L3 Species,Anthidium oblongatum,30,35,48,0.8571428571428571,0.625,0.7228915662650602
L3 Species,Aphantopus hyperantus,3,5,3,0.6,1.0,0.7499999999999999
L3 Species,Apis mellifera,1521,1552,1644,0.9800257731958762,0.9251824817518248,0.9518147684605757
L3 Species,Apoidea,0,79,0,0.0,1.0,0.0
L3 Species,Apoidea red_abdomen,6,36,8,0.16666666666666666,0.75,0.27272727272727276
L3 Species,Apoidea reddish,45,54,50,0.8333333333333334,0.9,0.8653846153846153
L3 Species,Apoidea small,432,511,530,0.8454011741682974,0.8150943396226416,0.829971181556196
L3 Species,Apoidea striped,174,228,212,0.7631578947368421,0.8207547169811321,0.7909090909090909
L3 Species,Aranaea,754,801,836,0.9413233458177278,0.9019138755980861,0.9211973121563836
L3 Species,Birds,20,24,20,0.8333333333333334,1.0,0.9090909090909091
L3 Species,Bombus,77,83,80,0.927710843373494,0.9625,0.9447852760736196
L3 Species,Bombus hypnorum,0,0,1,0.0,0.0,0.0
L3 Species,Bombus lapidarius,774,782,787,0.989769820971867,0.9834815756035579,0.9866156787762907
L3 Species,Bombus pascuorum,87,89,109,0.9775280898876404,0.7981651376146789,0.8787878787878788
L3 Species,Bombus sylvarum,318,331,323,0.9607250755287009,0.9845201238390093,0.9724770642201835
