level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,99,103,100,0.9611650485436893,0.99,0.9753694581280788
L1 Order,Birds,13,13,13,1.0,1.0,1.0
L1 Order,Coleoptera,556,559,566,0.9946332737030411,0.9823321554770318,0.9884444444444443
L1 Order,Dermaptera,21,21,21,1.0,1.0,1.0
L1 Order,Diptera,716,724,726,0.988950276243094,0.9862258953168044,0.9875862068965517
L1 Order,Hemiptera,78,84,81,0.9285714285714286,0.9629629629629629,0.9454545454545454
L1 Order,Herpetofauna,4,9,5,0.4444444444444444,0.8,0.5714285714285714
L1 Order,Hymenoptera_bees,1312,1322,1323,0.9924357034795764,0.9916855631141346,0.9920604914933837
L1 Order,Hymenoptera_nobees,426,437,433,0.9748283752860412,0.9838337182448037,0.9793103448275863
L1 Order,Isopoda,43,43,44,1.0,0.9772727272727273,0.9885057471264368
L1 Order,Larvae,29,29,29,1.0,1.0,1.0
L1 Order,Lepidoptera,249,258,264,0.9651162790697675,0.9431818181818182,0.9540229885057472
L1 Order,Lepidoptera_fw,261,271,264,0.9630996309963099,0.9886363636363636,0.9757009345794392
L1 Order,Milipedes,9,11,9,0.8181818181818182,1.0,0.9
L1 Order,Odonata,26,26,26,1.0,1.0,1.0
L1 Order,Orthoptera,176,181,183,0.9723756906077348,0.9617486338797814,0.967032967032967
L1 Order,Slugs,53,54,59,0.9814814814814815,0.8983050847457628,0.9380530973451328
L1 Order,Snails,82,85,85,0.9647058823529412,0.9647058823529412,0.9647058823529412
L1 Order,Vegetation,280,287,286,0.975609756097561,0.9790209790209791,0.9773123909249564
L1 Order,Macro,233.31578947368422,237.73684210526315,237.73684210526315,0.9434525836346804,0.9689427254845321,0.9528941089758307
L1 Order,Micro,4433,4517,4517,0.9814035864511844,0.9814035864511844,0.9814035864511844
L2 Family,Acrididae,134,138,143,0.9710144927536232,0.9370629370629371,0.9537366548042706
L2 Family,Apidae,920,927,933,0.9924487594390508,0.9860664523043944,0.989247311827957
L2 Family,Apoidea,237,246,246,0.9634146341463414,0.9634146341463414,0.9634146341463414
L2 Family,Aranaea,99,102,100,0.9705882352941176,0.99,0.9801980198019802
L2 Family,Birds,13,13,13,1.0,1.0,1.0
L2 Family,Bombyliidae,24,24,24,1.0,1.0,1.0
L2 Family,Cantharidae,65,67,68,0.9701492537313433,0.9558823529411765,0.962962962962963
L2 Family,Chrysididae,38,39,39,0.9743589743589743,0.9743589743589743,0.9743589743589743
L2 Family,Coccinellidae,362,362,363,1.0,0.9972451790633609,0.9986206896551724
L2 Family,Coleoptera,128,132,135,0.9696969696969697,0.9481481481481482,0.9588014981273408
L2 Family,Crabronidae,42,44,45,0.9545454545454546,0.9333333333333333,0.9438202247191012
L2 Family,Dermaptera,21,21,21,1.0,1.0,1.0
L2 Family,Diptera,20,23,23,0.8695652173913043,0.8695652173913043,0.8695652173913043
L2 Family,Formidicidae,48,49,48,0.9795918367346939,1.0,0.9896907216494846
L2 Family,Hemiptera,78,83,81,0.9397590361445783,0.9629629629629629,0.9512195121951219
L2 Family,Herpetofauna,4,8,5,0.5,0.8,0.6153846153846154
L2 Family,Hesperidae,24,28,27,0.8571428571428571,0.8888888888888888,0.8727272727272727
L2 Family,Ichneumonidae,32,37,33,0.8648648648648649,0.9696969696969697,0.9142857142857143
L2 Family,Isopoda,43,43,44,1.0,0.9772727272727273,0.9885057471264368
L2 Family,Larvae,29,29,29,1.0,1.0,1.0
L2 Family,Lepidoptera,5,8,8,0.625,0.625,0.625
L2 Family,Lepidoptera_fw,6,17,13,0.35294117647058826,0.46153846153846156,0.4000000000000001
L2 Family,Lycaenidae,26,30,28,0.8666666666666667,0.9285714285714286,0.896551724137931
L2 Family,Megachilidae,140,149,144,0.9395973154362416,0.9722222222222222,0.9556313993174061
L2 Family,Milipedes,9,11,9,0.8181818181818182,1.0,0.9
L2 Family,Moths,10,11,11,0.9090909090909091,0.9090909090909091,0.9090909090909091
L2 Family,Nymphalidae,164,167,177,0.9820359281437125,0.9265536723163842,0.9534883720930232
L2 Family,Nymphalidae_fw,241,255,251,0.9450980392156862,0.9601593625498008,0.9525691699604744
L2 Family,Odonata,26,26,26,1.0,1.0,1.0
L2 Family,Orthoptera,10,14,12,0.7142857142857143,0.8333333333333334,0.7692307692307692
L2 Family,Pieridae,12,15,13,0.8,0.9230769230769231,0.8571428571428571
L2 Family,Pompilidae,29,32,32,0.90625,0.90625,0.90625
L2 Family,Sarcophagidae,40,42,41,0.9523809523809523,0.975609756097561,0.963855421686747
L2 Family,Slugs,53,54,59,0.9814814814814815,0.8983050847457628,0.9380530973451328
L2 Family,Snails,82,85,85,0.9647058823529412,0.9647058823529412,0.9647058823529412
L2 Family,Syrphidae,629,634,638,0.9921135646687698,0.9858934169278997,0.9889937106918238
L2 Family,Tettigoniidae,27,29,28,0.9310344827586207,0.9642857142857143,0.9473684210526316
L2 Family,Vegetation,280,286,286,0.9790209790209791,0.9790209790209791,0.9790209790209791
L2 Family,Vespidae,233,237,236,0.9831223628691983,0.9872881355932204,0.985200845665962
L2 Family,Macro,112.38461538461539,115.82051282051282,115.82051282051282,0.9082089194684217,0.9321744630588478,0.9184280341013754
L2 Family,Micro,4383,4517,4517,0.9703342926721276,0.9703342926721276,0.9703342926721276
L3 Species,Acrididae,70,85,87,0.8235294117647058,0.8045977011494253,0.813953488372093
L3 Species,Aglais io,11,11,12,1.0,0.9166666666666666,0.9565217391304348
L3 Species,Aglais urticae,93,93,96,1.0,0.96875,0.9841269841269841
L3 Species,Aglais urticae_fw,15,18,18,0.8333333333333334,0.8333333333333334,0.8333333333333334
L3 Species,Anthidium oblongatum,20,20,20,1.0,1.0,1.0
L3 Species,Aphantopus hyperantus,7,7,8,1.0,0.875,0.9333333333333333
L3 Species,Apis mellifera,516,519,525,0.9942196531791907,0.9828571428571429,0.9885057471264367
L3 Species,Apoidea,23,30,33,0.7666666666666667,0.696969696969697,0.7301587301587302
L3 Species,Apoidea red_abdomen,12,14,14,0.8571428571428571,0.8571428571428571,0.8571428571428571
L3 Species,Apoidea reddish,16,18,17,0.8888888888888888,0.9411764705882353,0.9142857142857143
L3 Species,Apoidea small,93,106,98,0.8773584905660378,0.9489795918367347,0.911764705882353
L3 Species,Apoidea striped,73,77,84,0.948051948051948,0.8690476190476191,0.906832298136646
L3 Species,Aranaea,99,102,100,0.9705882352941176,0.99,0.9801980198019802
L3 Species,Birds,13,13,13,1.0,1.0,1.0
L3 Species,Bombus,19,23,22,0.8260869565217391,0.8636363636363636,0.8444444444444444
L3 Species,Bombus hypnorum,10,15,10,0.6666666666666666,1.0,0.8
L3 Species,Bombus lapidarius,114,116,122,0.9827586206896551,0.9344262295081968,0.9579831932773109
L3 Species,Bombus pascuorum,12,12,14,1.0,0.8571428571428571,0.923076923076923
L3 Species,Bombus sylvarum,18,18,18,1.0,1.0,1.0
L3 Species,Bombus terrestris,199,203,201,0.9802955665024631,0.9900497512437811,0.9851485148514852
L3 Species,Bombyliidae,24,24,24,1.0,1.0,1.0
L3 Species,Chorthippus,37,46,49,0.8043478260869565,0.7551020408163265,0.7789473684210526
L3 Species,Chrysididae,38,39,39,0.9743589743589743,0.9743589743589743,0.9743589743589743
L3 Species,Chrysotoxum,14,14,16,1.0,0.875,0.9333333333333333
L3 Species,Coccinella septempunctata,362,362,363,1.0,0.9972451790633609,0.9986206896551724
L3 Species,Coenonympha pamphilus,19,19,22,1.0,0.8636363636363636,0.9268292682926829
L3 Species,Coleoptera,128,132,135,0.9696969696969697,0.9481481481481482,0.9588014981273408
L3 Species,Crabronidae,42,44,45,0.9545454545454546,0.9333333333333333,0.9438202247191012
L3 Species,Decticus verrucivorus,9,12,10,0.75,0.9,0.8181818181818182
