level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,764,876,836,0.8721461187214612,0.9138755980861244,0.8925233644859814
L1 Order,Birds,20,24,20,0.8333333333333334,1.0,0.9090909090909091
L1 Order,Coleoptera,1988,2221,2059,0.895092300765421,0.9655172413793104,0.9289719626168225
L1 Order,Dermaptera,75,149,85,0.5033557046979866,0.8823529411764706,0.6410256410256411
L1 Order,Diptera,5626,5692,6115,0.9884047786366831,0.9200327064595257,0.952993986618108
L1 Order,Hemiptera,302,686,315,0.4402332361516035,0.9587301587301588,0.6033966033966034
L1 Order,Herpetofauna,48,85,49,0.5647058823529412,0.9795918367346939,0.7164179104477613
L1 Order,Hymenoptera_bees,4785,4884,5044,0.9797297297297297,0.9486518636003172,0.9639403706688154
L1 Order,Hymenoptera_nobees,2175,2344,2424,0.927901023890785,0.8972772277227723,0.9123322147651006
L1 Order,Isopoda,123,175,132,0.7028571428571428,0.9318181818181818,0.8013029315960912
L1 Order,Larvae,66,106,72,0.6226415094339622,0.9166666666666666,0.7415730337078651
L1 Order,Lepidoptera,640,665,659,0.9624060150375939,0.9711684370257967,0.9667673716012085
L1 Order,Lepidoptera_fw,86,88,105,0.9772727272727273,0.819047619047619,0.8911917098445595
L1 Order,Milipedes,38,52,38,0.7307692307692307,1.0,0.8444444444444443
L1 Order,Odonata,61,63,62,0.9682539682539683,0.9838709677419355,0.976
L1 Order,Orthoptera,196,258,201,0.7596899224806202,0.9751243781094527,0.8540305010893247
L1 Order,Slugs,215,249,359,0.8634538152610441,0.5988857938718662,0.707236842105263
L1 Order,Snails,801,1112,811,0.7203237410071942,0.9876695437731196,0.8330733229329174
L1 Order,Vegetation,457,528,871,0.865530303030303,0.5246842709529277,0.6533238027162259
L1 Order,Macro,971.8947368421053,1066.157894736842,1066.157894736842,0.798847393878091,0.9039455490998389,0.8310335222712443
L1 Order,Micro,18466,20257,20257,0.911586118378832,0.911586118378832,0.911586118378832
L2 Family,Acrididae,179,235,184,0.7617021276595745,0.9728260869565217,0.8544152744630072
L2 Family,Apidae,3110,3175,3297,0.9795275590551181,0.943281771307249,0.9610630407911
L2 Family,Apoidea,644,861,800,0.7479674796747967,0.805,0.7754364840457556
L2 Family,Aranaea,756,815,836,0.9276073619631902,0.9043062200956937,0.9158086008479709
L2 Family,Birds,20,23,20,0.8695652173913043,1.0,0.9302325581395349
L2 Family,Bombyliidae,0,10,0,0.0,1.0,0.0
L2 Family,Cantharidae,186,200,186,0.93,1.0,0.9637305699481865
L2 Family,Chrysididae,0,59,0,0.0,1.0,0.0
L2 Family,Coccinellidae,1465,1471,1485,0.9959211420802175,0.9865319865319865,0.9912043301759134
L2 Family,Coleoptera,338,588,388,0.5748299319727891,0.8711340206185567,0.6926229508196721
L2 Family,Crabronidae,83,108,89,0.7685185185185185,0.9325842696629213,0.8426395939086294
L2 Family,Dermaptera,74,115,85,0.6434782608695652,0.8705882352941177,0.7400000000000001
L2 Family,Diptera,882,893,1124,0.9876819708846585,0.7846975088967971,0.8745661874070402
L2 Family,Formidicidae,1667,1764,1769,0.9450113378684807,0.9423403052572075,0.9436739315029721
L2 Family,Hemiptera,291,573,315,0.5078534031413613,0.9238095238095239,0.6554054054054055
L2 Family,Herpetofauna,48,75,49,0.64,0.9795918367346939,0.7741935483870968
L2 Family,Hesperidae,25,28,26,0.8928571428571429,0.9615384615384616,0.9259259259259259
L2 Family,Ichneumonidae,4,7,12,0.5714285714285714,0.3333333333333333,0.4210526315789474
L2 Family,Isopoda,124,150,132,0.8266666666666667,0.9393939393939394,0.8794326241134751
L2 Family,Larvae,66,88,72,0.75,0.9166666666666666,0.8250000000000001
L2 Family,Lepidoptera,12,22,13,0.5454545454545454,0.9230769230769231,0.6857142857142856
L2 Family,Lepidoptera_fw,29,32,33,0.90625,0.8787878787878788,0.8923076923076922
L2 Family,Lycaenidae,3,4,5,0.75,0.6,0.6666666666666665
L2 Family,Megachilidae,834,903,947,0.9235880398671097,0.880675818373812,0.9016216216216217
L2 Family,Milipedes,38,49,38,0.7755102040816326,1.0,0.8735632183908045
L2 Family,Moths,154,160,167,0.9625,0.9221556886227545,0.9418960244648319
L2 Family,Nymphalidae,445,462,445,0.9632034632034632,1.0,0.9812568908489526
L2 Family,Nymphalidae_fw,56,56,72,1.0,0.7777777777777778,0.8750000000000001
L2 Family,Odonata,61,63,62,0.9682539682539683,0.9838709677419355,0.976
L2 Family,Orthoptera,6,11,6,0.5454545454545454,1.0,0.7058823529411764
L2 Family,Pieridae,3,6,3,0.5,1.0,0.6666666666666666
L2 Family,Pompilidae,52,64,86,0.8125,0.6046511627906976,0.6933333333333334
L2 Family,Sarcophagidae,268,277,298,0.9675090252707581,0.8993288590604027,0.9321739130434783
L2 Family,Slugs,216,251,359,0.8605577689243028,0.6016713091922006,0.7081967213114755
L2 Family,Snails,800,1110,811,0.7207207207207207,0.9864364981504316,0.8328995314940135
L2 Family,Syrphidae,4570,4611,4693,0.991108219475168,0.9737907521841039,0.9823731728288908
L2 Family,Tettigoniidae,9,15,11,0.6,0.8181818181818182,0.6923076923076923
L2 Family,Vegetation,419,464,871,0.9030172413793104,0.48105625717566014,0.6277153558052434
L2 Family,Vespidae,429,459,468,0.934640522875817,0.9166666666666666,0.9255663430420712
L2 Family,Macro,470.9230769230769,519.4102564102565,519.4102564102565,0.7679714091536743,0.8798910908687367,0.7827575676987057
L2 Family,Micro,18366,20257,20257,0.906649553240855,0.906649553240855,0.906649553240855
L3 Species,Acrididae,104,152,108,0.6842105263157895,0.9629629629629629,0.7999999999999999
L3 Species,Aglais io,40,41,41,0.975609756097561,0.975609756097561,0.975609756097561
L3 Species,Aglais urticae,374,389,375,0.961439588688946,0.9973333333333333,0.9790575916230366
L3 Species,Aglais urticae_fw,2,5,13,0.4,0.15384615384615385,0.2222222222222222
L3 Species,Anthidium oblongatum,31,37,48,0.8378378378378378,0.6458333333333334,0.7294117647058824
L3 Species,Aphantopus hyperantus,3,3,3,1.0,1.0,1.0
L3 Species,Apis mellifera,1444,1492,1644,0.967828418230563,0.878345498783455,0.9209183673469389
L3 Species,Apoidea,0,85,0,0.0,1.0,0.0
L3 Species,Apoidea red_abdomen,6,22,8,0.2727272727272727,0.75,0.39999999999999997
L3 Species,Apoidea reddish,37,41,50,0.9024390243902439,0.74,0.8131868131868132
