level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L1 Order,Aranaea,98,100,100,0.98,0.98,0.98
L1 Order,Birds,12,13,13,0.9230769230769231,0.9230769230769231,0.9230769230769231
L1 Order,Coleoptera,555,560,566,0.9910714285714286,0.980565371024735,0.9857904085257548
L1 Order,Dermaptera,21,22,21,0.9545454545454546,1.0,0.9767441860465117
L1 Order,Diptera,714,724,726,0.9861878453038674,0.9834710743801653,0.9848275862068965
L1 Order,Hemiptera,78,88,81,0.8863636363636364,0.9629629629629629,0.923076923076923
L1 Order,Herpetofauna,4,7,5,0.5714285714285714,0.8,0.6666666666666666
L1 Order,Hymenoptera_bees,1304,1319,1323,0.9886277482941622,0.9856386999244142,0.9871309613928841
L1 Order,Hymenoptera_nobees,423,438,433,0.9657534246575342,0.976905311778291,0.9712973593570609
L1 Order,Isopoda,43,46,44,0.9347826086956522,0.9772727272727273,0.9555555555555557
L1 Order,Larvae,28,28,29,1.0,0.9655172413793104,0.9824561403508771
L1 Order,Lepidoptera,245,254,264,0.9645669291338582,0.928030303030303,0.9459459459459459
L1 Order,Lepidoptera_fw,258,267,264,0.9662921348314607,0.9772727272727273,0.9717514124293786
L1 Order,Milipedes,8,10,9,0.8,0.8888888888888888,0.8421052631578948
L1 Order,Odonata,25,25,26,1.0,0.9615384615384616,0.9803921568627451
L1 Order,Orthoptera,182,190,183,0.9578947368421052,0.994535519125683,0.9758713136729222
L1 Order,Slugs,51,51,59,1.0,0.864406779661017,0.9272727272727274
L1 Order,Snails,84,90,85,0.9333333333333333,0.9882352941176471,0.96
L1 Order,Vegetation,280,285,286,0.9824561403508771,0.9790209790209791,0.9807355516637477
L1 Order,Macro,232.26315789473685,237.73684210526315,237.73684210526315,0.9361253113383613,0.9535441718134334,0.9431945832242851
L1 Order,Micro,4413,4517,4517,0.9769758689395617,0.9769758689395617,0.9769758689395617
L2 Family,Acrididae,138,141,143,0.9787234042553191,0.965034965034965,0.971830985915493
L2 Family,Apidae,918,930,933,0.9870967741935484,0.9839228295819936,0.9855072463768115
L2 Family,Apoidea,235,251,246,0.9362549800796812,0.9552845528455285,0.9456740442655935
L2 Family,Aranaea,98,100,100,0.98,0.98,0.98
L2 Family,Birds,12,13,13,0.9230769230769231,0.9230769230769231,0.9230769230769231
L2 Family,Bombyliidae,24,24,24,1.0,1.0,1.0
L2 Family,Cantharidae,65,67,68,0.9701492537313433,0.9558823529411765,0.962962962962963
L2 Family,Chrysididae,38,38,39,1.0,0.9743589743589743,0.9870129870129869
L2 Family,Coccinellidae,361,361,363,1.0,0.9944903581267218,0.9972375690607734
L2 Family,Coleoptera,127,133,135,0.9548872180451128,0.9407407407407408,0.9477611940298507
L2 Family,Crabronidae,40,41,45,0.975609756097561,0.8888888888888888,0.9302325581395349
L2 Family,Dermaptera,21,21,21,1.0,1.0,1.0
L2 Family,Diptera,21,25,23,0.84,0.9130434782608695,0.8749999999999999
L2 Family,Formidicidae,48,51,48,0.9411764705882353,1.0,0.9696969696969697
L2 Family,Hemiptera,78,84,81,0.9285714285714286,0.9629629629629629,0.9454545454545454
L2 Family,Herpetofauna,4,7,5,0.5714285714285714,0.8,0.6666666666666666
L2 Family,Hesperidae,23,23,27,1.0,0.8518518518518519,0.92
L2 Family,Ichneumonidae,30,33,33,0.9090909090909091,0.9090909090909091,0.9090909090909091
L2 Family,Isopoda,43,44,44,0.9772727272727273,0.9772727272727273,0.9772727272727273
L2 Family,Larvae,28,28,29,1.0,0.9655172413793104,0.9824561403508771
L2 Family,Lepidoptera,7,14,8,0.5,0.875,0.6363636363636364
L2 Family,Lepidoptera_fw,4,15,13,0.26666666666666666,0.3076923076923077,0.28571428571428575
L2 Family,Lycaenidae,27,29,28,0.9310344827586207,0.9642857142857143,0.9473684210526316
L2 Family,Megachilidae,139,147,144,0.9455782312925171,0.9652777777777778,0.9553264604810997
L2 Family,Milipedes,8,10,9,0.8,0.8888888888888888,0.8421052631578948
L2 Family,Moths,10,10,11,1.0,0.9090909090909091,0.9523809523809523
L2 Family,Nymphalidae,165,171,177,0.9649122807017544,0.9322033898305084,0.9482758620689654
L2 Family,Nymphalidae_fw,237,249,251,0.9518072289156626,0.9442231075697212,0.9480000000000001
L2 Family,Odonata,25,25,26,1.0,0.9615384615384616,0.9803921568627451
L2 Family,Orthoptera,11,15,12,0.7333333333333333,0.9166666666666666,0.8148148148148148
L2 Family,Pieridae,12,12,13,1.0,0.9230769230769231,0.9600000000000001
L2 Family,Pompilidae,29,36,32,0.8055555555555556,0.90625,0.8529411764705882
L2 Family,Sarcophagidae,39,41,41,0.9512195121951219,0.9512195121951219,0.9512195121951219
L2 Family,Slugs,51,51,59,1.0,0.864406779661017,0.9272727272727274
L2 Family,Snails,85,91,85,0.9340659340659341,1.0,0.9659090909090909
L2 Family,Syrphidae,626,633,638,0.9889415481832543,0.9811912225705329,0.9850511408339889
L2 Family,Tettigoniidae,27,31,28,0.8709677419354839,0.9642857142857143,0.9152542372881356
L2 Family,Vegetation,280,285,286,0.9824561403508771,0.9790209790209791,0.9807355516637477
L2 Family,Vespidae,232,237,236,0.9789029535864979,0.9830508474576272,0.9809725158562369
L2 Family,Macro,111.94871794871794,115.82051282051282,115.82051282051282,0.9097123083582728,0.9271484348211132,0.9155649290964177
L2 Family,Micro,4366,4517,4517,0.9665707327872481,0.9665707327872481,0.9665707327872481
L3 Species,Acrididae,74,86,87,0.8604651162790697,0.8505747126436781,0.8554913294797688
L3 Species,Aglais io,11,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
L3 Species,Aglais urticae,92,93,96,0.989247311827957,0.9583333333333334,0.9735449735449735
L3 Species,Aglais urticae_fw,16,18,18,0.8888888888888888,0.8888888888888888,0.8888888888888888
L3 Species,Anthidium oblongatum,20,20,20,1.0,1.0,1.0
L3 Species,Aphantopus hyperantus,7,7,8,1.0,0.875,0.9333333333333333
L3 Species,Apis mellifera,515,521,525,0.9884836852207294,0.9809523809523809,0.9847036328871893
L3 Species,Apoidea,23,33,33,0.696969696969697,0.696969696969697,0.696969696969697
L3 Species,Apoidea red_abdomen,11,13,14,0.8461538461538461,0.7857142857142857,0.8148148148148148
L3 Species,Apoidea reddish,17,19,17,0.8947368421052632,1.0,0.9444444444444444
