Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9150,0.6386,0.7522,0.7567,0.4615
testHeather,0.9345,0.8161,0.8713,0.8860,0.6453
testMBO,0.8283,0.7605,0.7930,0.8464,0.6922
testOrchard,0.8271,0.8461,0.8365,0.9022,0.7242
testPollW,0.8741,0.7200,0.7896,0.8182,0.6160
testRTNI,0.9356,0.8107,0.8687,0.8807,0.6905
testACSHQ,0.8929,0.8982,0.8955,0.9410,0.7025
testGA1,0.9569,0.9869,0.9717,0.9892,0.6594
testGA2,0.9617,0.9486,0.9551,0.9760,0.7376
Average,0.9029,0.8251,0.8593,0.8885,0.6588
STD,0.0481,0.1041,0.0704,0.0706,0.0785
