Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.9053,0.7689,0.8315,0.8913,0.5377
testHeatherm,0.9238,0.8901,0.9066,0.9504,0.7561
testMBOm,0.8929,0.8901,0.8915,0.9528,0.8145
testOrchardm,0.8942,0.8933,0.8938,0.9530,0.7743
testPollWm,0.8752,0.9120,0.8932,0.9527,0.7729
testRTNIm,0.9525,0.9482,0.9504,0.9754,0.7844
testACSHQm,0.9201,0.9168,0.9184,0.9624,0.7772
testGA2m,0.8749,0.7488,0.8069,0.8173,0.5654
testGA3m,0.9381,0.9518,0.9449,0.9523,0.7096
testTDRm,0.7992,0.8837,0.8394,0.9144,0.7351
Average,0.8976,0.8804,0.8877,0.9322,0.7227
STD,0.0408,0.0649,0.0454,0.0447,0.0899
