Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.8942,0.5862,0.7082,0.7060,0.4212
testHeather,0.9375,0.8084,0.8682,0.8679,0.6575
testMBO,0.7951,0.7111,0.7508,0.8017,0.6550
testOrchard,0.8612,0.8429,0.8520,0.9062,0.7243
testPollW,0.8534,0.7013,0.7699,0.7874,0.5908
testRTNI,0.9489,0.7923,0.8635,0.8699,0.6809
testACSHQ,0.8725,0.8793,0.8759,0.9266,0.6546
testGA1,0.9726,0.9738,0.9732,0.9908,0.6648
testGA2,0.9660,0.9165,0.9406,0.9656,0.7390
Average,0.9001,0.8013,0.8447,0.8691,0.6431
STD,0.0567,0.1132,0.0821,0.0860,0.0883
